19870010;B.S. in Civil Engineering;April;1987; MSU-Marawi
19950005;Bachelor of Elementary Education Filipino;April;1995; MSU-Marawi
20030008;B.S. in Public Administration;December;2003;  MSU-Marawi
20000008;B.S. in Zoology;April;2000; MSU-Marawi
20000008;Doctor of Medicine;April;2004; MSU-Marawi
19970012;B.S. in Mechanical Engineering;April;1997; MSU-Marawi
19880009;Certificate in Prawn Hatchery Technology;April;1988; MSU-Naawan
19900009;Diploma in Engineering Technology;March;1990; MSU-IIT
19870011;Diploma in Engineering Technology;March;1987; MSU-IIT
20070009;B.S. in Mechanical Engineering;November;2007; MSU-Marawi
20010008;B.S. in Public Administration;April;2001; MSU-Marawi
19990007;B.S. in Accountancy;March;1999; MSU-Marawi
19750002;Diploma in Engineering Technology;1975;1975; MSU-IIT
19910003;B.S. in Fisheries Mariculture;April;1991; MSU-Naawan
20050005;B.S. in Agricultural Engineering;April;2005; MSU-Marawi
20060008;Bachelor of Secondary Education English;April;2006; MSU-Marawi
20070010;B.S. in Agricultural Education;November;2007; MSU-Marawi
20080006;Diploma in Agricultural Technology;April;2008; MSU-Marawi
20070011;B.S. in Civil Engineering;April;2007; MSU-Marawi
20080007;Diploma in Agricultural Technology;April;2008; MSU-Marawi
20070012;B.S. in Agricultural Education;November;2007; MSU-Marawi
20050006;Diploma in Agricultural Business Management Technology;April;2005; MSU-Marawi
19960003;B.S. in Elementary Education Reading;March;1996; MSU-Marawi
19950006;BSBA Management;April;1995; MSU-Marawi
19810010;BSBA Accounting;1981;1981; MSU-IIT
19900010;B.S. in Chemical Engineering;April;1990; MSU-Marawi
19800006;Diploma in Engineering Technology;1980;1980; MSU-IIT
20010009;B.S. in Accountancy;April;2001; MSU-Marawi
19750003;B.S. in Agricultural Engineering;May;1975; MSU-Marawi
19970013;Bachelor of Elementary Education;April;1997; MSU-Marawi
19840003;Diploma in Midwifery;April;1984; MSU-Marawi
20020002;B.S. in Civil Engineering;April;2002; MSU-Marawi
20010010;Diploma in Agricultural Technology;April;2001; MSU-Marawi
20080008;Bachelor of Arts History;April;2008; MSU-Marawi
19850007;Diploma in Engineering Technology;March;1985; MSU-IIT
20070013;Bachelor of Secondary Education English;April;2007; MSU-Marawi
19830008;B.S. in Metallurgical Engineering;March;1983; MSU-IIT
19810011;Diploma in Agricultural Technology;April;1981; MSU-Marawi
19760002;Diploma in Engineering Technology;1976;1976; MSU-IIT
19780002;BSBA Accounting;1978;1978; MSU-IIT
20050007;BSBA Management;April;2005; MSU-Marawi
20070014;Bachelor of Arts Filipino;March;2007; MSU-Buug
20070015;Forest Ranger Certificate;April;2007;  MSU-	Marawi at MSU-Lopez Jaena Extension
20060009;Diploma in Agricultural Technology;April;2006; MSU-Marawi at MSU-Lopez Jaena Community College
19850008;Diploma in Engineering Technology;March;1985; MSU-IIT
20000009;B.S. in Civil Engineering;April;2000; MSU-Marawi
19850009;Bachelor of Arts Psychology;April;1985; MSU-Marawi
19870012;B.S. in Biology;April;1987; MSU-Marawi
19800007;Diploma in Engineering Technology;1980;1980; MSU-IIT
20040006;B.S. in Public Administration;April;2004; MSU- Marawi
19900011;Diploma in Engineering Technology;March;1990; MSU-IIT
19990008;B.S. in Public Administration;March;1999; MSU-Marawi
20010011;B.S. in Civil Engineering;April;2001; MSU-Marawi
20060010;Bachelor of Arts English;April;2006; MSU-Marawi
19990009;Bachelor of Laws;March;1999; MSU-Marawi at MSU-IIT Extension
20000010;Bachelor of Elementary Education English;April;2000; MSU-Marawi
19940005;BSBA Accounting;April;1994; MSU-Marawi
20030009;Diploma in Agricultural Technology;2003;2003; MSU-Buug
20050008;B.S. in Forestry;December;2005; MSU-Marawi
19900012;Bachelor of Arts Sociology;March;1990; MSU-IIT
20050009;BSBA Entrepreneurial Marketing;December;2005; MSU-Marawi
20090003;Bachelor of Science in Forestry;April;2009; MSU-Marawi
19910004;B.S. in Agriculture Agronomy;1991;1991; MSU-Buug
20080009;Forest Ranger Certificate;2008;2008; MSU-Buug
19880010;Diplomain Professional Physical Education;April;1988; MSU-IIT
20060011;Associate in Health Science Education;November;2006; MSU-Marawi
20000011;Associate in Hotel and Restaurant Management;October;2000; MSU-Marawi
20000011;B.S. in Hotel and Restaurant Management;April;2001; MSU-Marawi
19940006;Bachelor of Elementary Education Home Economics;April;1994; MSU-Marawi
19880011;B.S. in Education;April;1988; MSU-Marawi
19850010;Diploma in Engineering Technology;March;1985; MSU-IIT
20020003;Certificate in Governmental Management March 30, 1999and Master in Public Administration;April;2002; MSU-Marawi at MSU-IIT Extension
19910005;B.S. in Community Development;April;1991; MSU-Marawi
19910006;Bachelor of Secondary Education Reading;April;1991; MSU-Marawi
19900013;BSBA Accounting;April;1990; MSU-Marawi
20050010;Bachelor of Laws;April;2005; MSU-Marawi at MSU-IIT Extension
19860004;B.S. in Public Administration;April;1986; MSU-Marawi
19800008;Diploma in Agricultural Technology;1980;1980; MSU-Marawi
19940007;Diploma in Agricultural Technology;April;1994; MSU-Marawi
20050011;Certificate in Governmental Management;April;2005; MSU-Marawi
19900014;B.S. in Agriculture Agronomy;April;1990; MSU-Marawi
19990010;B.S. in Community Development;March;1999; MSU- Marawi
20080010;Diploma in Agricultural Business Management Technology;November;2008; MSU-Marawi
20030010;Diploma in Agricultural Technology;April;2003; MSU-Marawi
20090004;Bachelor of Elementary Education Arabic Language and 	Islamic Studies;April;2009; MSU-Marawi
20030011;BS Bachelor of Elementary Education;April;2003; MSU-Marawi
20010012;B.S. in Social Work;April;2001; MSU-Marawi
19840004;Diploma in Midwifery;April;1984; MSU-Marawi
20060012;Diploma in Agricultural Technology;April;2006; MSU-Marawi at MSU-Binidayan Extension
20080011;Bachelor of Secondary Education English;2008;2008; MSU-Marawi
20070016;Bachelorof Laws;April;2007; MSU-Marawi at MSU-IIT Extension
20010013;B.S. in Community Development;November;2001;  MSU- Marawi
20070017;Diploma in Agricultural Business Management Technology;April;2007; MSU-Marawi
19840005;B.S. in Education;April;1984; MSU-Marawi
19840005;Master of Arts in Philippine Studies;April;1989; MSU-Marawi
20070018;B.S. in Civil Engineering;November;2007;  or April 5, 2006
19950007;B.S. in Accountancy;April;1995; MSU-Marawi
19790004;B.S. in Biology;April;1979; MSU-Marawi
20030012;Bachelor of Arts Filipino;2003;2003; MSU-Buug
19900015;B.S. in Civil Engineering;April;1990; MSU-Marawi
19830009;B.S. in Civil Engineering;April;1983; MSU-Marawi
19880012;B.S. in Economics;April;1988; MSU-IIT
20070019;B.S. in Agricultural Business Management;November;2007; MSU-Marawi
20080012;Bachelor of Laws;April;2008; MSU-Marawi at MSU-IIT 	Extension
20070020;Associate in Health Science Education;April;2007; MSU-Marawi
20070020;B.S. in Nursing;April;2008; MSU-Marawi
19790005;Master of Arts in Teaching;April;1979; MSU-Marawi
19970014;Certificate in Governmental Management;April;1997; MSU-Marawi at MSU-IIT Extension
19970014;Master in Public Administration;April;1998; MSU-Marawi at MSU-IIT Extension
19850011;B.S. in Elementary and Secondary Education;April;1985;  MSU-Marawi
20010014;Bachelor of Secondary Education Filipino;2001;2001; MSU-Buug
19980010;Bachelor of Arts Filipino;1998;1998; MSU-Buug
19890006;BSBA Marketing;April;1989; MSU-IIT
19830010;Diploma in Secretarial Science;March;1983; MSU-IIT
19960004;B.S. in Nursing;March;1996; MSU-Marawi
